ind_group,ind_label,horizon,beta_abs,theta,boot_se,p_value,bh_reject
7,Wholesale_trade,26,-0.0019227734139978126,NaN,0.0020740300149068866,0.336,false
7,Wholesale_trade,27,0.0006604809065265959,NaN,0.002028178459528004,0.752,false
7,Wholesale_trade,28,0.001415844444970879,NaN,0.0021128729856615463,0.428,false
7,Wholesale_trade,29,0.0006619523304256938,NaN,0.002176629337555488,0.78,false
7,Wholesale_trade,30,-0.001533675747887611,NaN,0.002194832911269202,0.476,false
7,Wholesale_trade,31,-0.0037267653065004417,NaN,0.0023414544169513855,0.112,false
7,Wholesale_trade,32,1.042132035928475e-5,NaN,0.0021224288236899582,0.988,false
7,Wholesale_trade,33,-0.001831056143708682,NaN,0.0018716575986037817,0.32,false
7,Wholesale_trade,34,-0.0014900746818379417,NaN,0.0018304997329940075,0.4,false
7,Wholesale_trade,35,-0.0010201125075989523,NaN,0.0019147283786190394,0.584,false
7,Wholesale_trade,36,0.0014482900456996432,NaN,0.0019280398774638658,0.552,false
8,Retail_trade,0,-0.0009088928669141791,NaN,0.0018377324508900565,0.656,false
8,Retail_trade,1,-0.001157090303044539,NaN,0.002301380341896941,0.684,false
8,Retail_trade,2,-0.0018227427672858525,NaN,0.002265064233003747,0.404,false
8,Retail_trade,3,-0.00022746762502223663,NaN,0.0023634974472083094,0.908,false
8,Retail_trade,4,0.0011222419934453472,NaN,0.0028135521645335114,0.684,false
8,Retail_trade,5,0.00016949081392200264,NaN,0.0027258562446061266,0.936,false
8,Retail_trade,6,-0.0014842462116062916,NaN,0.0024472374580806052,0.572,false
8,Retail_trade,7,-0.0037592244707553148,NaN,0.002604683582018788,0.144,false
8,Retail_trade,8,-0.00566714920113293,NaN,0.0023603900171968676,0.016,false
8,Retail_trade,9,-0.004074617831752685,NaN,0.001967176997587446,0.04,false
8,Retail_trade,10,-0.0035667052660441137,NaN,0.0016763830278369006,0.028,false
8,Retail_trade,11,-0.0032936471215261457,NaN,0.0019055448205727034,0.06,false
8,Retail_trade,12,-0.0042101921354836995,NaN,0.0017527665651670009,0.008,false
8,Retail_trade,13,-0.003494489555160865,NaN,0.001879843015831515,0.052,false
8,Retail_trade,14,-0.003881939623141799,NaN,0.002168199301234002,0.068,false
8,Retail_trade,15,-0.0014188540184119896,NaN,0.0026778657277854645,0.604,false
8,Retail_trade,16,-0.0032740864099365546,NaN,0.0025013371360859725,0.172,false
8,Retail_trade,17,-0.0038975520874823207,NaN,0.003096172617344526,0.2,false
8,Retail_trade,18,-0.004131988487517903,NaN,0.0027945689847928418,0.144,false
8,Retail_trade,19,-0.0042221686022870875,NaN,0.0026331302115093023,0.096,false
8,Retail_trade,20,-0.0074134989083517,NaN,0.0023618120965283205,0.004,false
8,Retail_trade,21,-0.006298457554494303,NaN,0.0021063468842380346,0.0,true
8,Retail_trade,22,-0.0066330508684391025,NaN,0.0019638689554398814,0.0,true
8,Retail_trade,23,-0.0019936980782311016,NaN,0.0019631199903057932,0.32,false
